title,abstract,mark
新冠疫苗保护期只有半年,新冠疫苗的保护期并非只有半年，“半年”仅仅是合格和上市的底线。只是疫苗接种的时间还很短，暂时只有半年的数据。新冠疫苗接种后产生的抗体水平存有个体差异。一部分个例在接种新冠疫苗1年后体内仍有较高的抗体水平，疫苗保护期或被低估。,1
来自意大利的“真相”：“新冠”不是病毒，而是细菌,世界卫生组织（WHO）从未禁止过对死于Covid-19的患者进行尸检。Covid-19患者确实可能会出现由细菌引起的继发性感染，陷入危险，但可以确定的是，Covid-19是由一种名为SARS-CoV-2的病毒（新型冠状病毒）引起的，而不是细菌。,1
法国的新冠变异株能逃避核酸检测,目前法国变异新冠病毒株仍然可以通过核酸检测发现，并没有出现所谓“逃避核酸检测”的能力。核酸检测并不是直接检测活病毒，检测过程受到样本病毒载量等因素的影响，其结果并不能保证百分百准确。即使是已经确诊住院的患者，核酸检测结果也存在假阴性的可能。根据法国卫生部的公告，初步分析不能表明新变异株具有更高的传染性，或更强的致病力，我们没有必要对其过于担心。,1
尼帕病毒是下一个全球大流行病毒，比新冠危险75倍,1999年，尼帕病毒在马来西亚首次被确认，它可以通过果蝠或猪传播给人类，也可以在人与人之间传播。人感染尼帕病毒的症状从无症状感染到急性呼吸道综合征和致命脑炎不等，目前没有针对性的药物或疫苗。有报道称尼帕病毒比新冠更危险，是新冠病毒致死率的75倍。这有曲解。原文中提到尼帕病毒最高的致死率可以达到75%，而新冠病毒的平均致死率是1%。用一个病毒的最高致死率和一个病毒的平均致死率作比较并不严谨。尼帕病毒只是260种已知的具有大流行潜力的病毒之一， 关于其传播方式等问题，有待更多研究，目前不需要对它过分恐惧。,3
20%新冠男康复者精液中完全无精子，失去生育能力,近日意大利一项针对43名新冠肺炎康复者的研究发现，康复者中确实出现了“无精症”的现象。其实，该现象主要出现在危重症患者，再加上样本数太少，并不能准确反映新冠康复者的整体情况，简单地将研究结果表述为“20%新冠男性康复者精液里完全没有精子”是不准确的。睾丸中ACE2蛋白的表达量较高，从病毒的感染机制来分析，新冠肺炎患者的精子数量和质量也确实会受到影响。在国内的新冠康复者中，也有精子数量减少的报道。不过多项研究发现，只要完全康复，精液中不会有残留的病毒，这个结果应该让很多康复者和家人放心。,1
甲型流感病毒会使新冠病毒更容易感染人,武汉大学团队的研究表明，甲型流感病毒确实会让新冠病毒更容易感染人，“火上浇油”的效果存在。人体细胞表面的蛋白ACE2是新冠病毒的受体，这个蛋白越多，新冠病毒就越容易入侵，而甲流病毒大大增加了人体细胞上ACE2的表达量。现实中，已出现流感病毒让新冠肺炎“火上浇油”的现象——感染甲流病毒与新冠病毒的患者，容易出现重症。虽然甲流病毒会让新冠病毒的感染“火上浇油”，但公众也不必过度恐慌，过度防护。目前的防护措施，不仅预防了新冠疫情，也大大降低了流感的发病率。,2
智能手表可以直接检测出新冠患者,近期《Nature》子刊上刊登了一项研究，研究结果显示63%的新冠病例可以通过智能手表的数据提前诊断出患者被感染。这里要注意的是，实验人员实际得出的结论为“智能手表等可穿戴设备是有可能被应用到感染性疾病的早期诊断”，但很多媒体却误认为智能手表可以检测出新冠患者，明显夸大了智能手表的功能和研究成果。目前，核酸测试还是检测新冠病毒的主要手段。,1
一份来自隔离医院的居家药物清单,这份所谓“隔离医院药物”其实是多个谣言“攒”成的大合集，不少谣言从新冠疫情暴发就在网上流传。目前没有任何证据可以证明，补充VC、VE能防止新冠病毒感染。至于碱性食物防治新冠肺炎，正常情况下，不论吃任何PH的食物都不会影响人体“酸碱平衡”。清单中提及“迅速将温开水与柠檬一起喝”，与前段时间网络热传“保持喉咙黏膜湿润可以预防新冠肺炎病毒”十分相似。水的“搭档”陆续有柠檬、盐、醋等。其核心原理，多喝水能阻止病毒进入呼吸道，而进入胃部的病毒会被胃酸杀死。实际上，病毒感染与喉咙干燥无关，没有文献证明喝水抗病毒。同时，WHO也证实醋、盐、柠檬对病毒本身没有灭杀作用。,1
肿瘤患者不建议接种新冠疫苗,北京市疾病预防控制中心等指出，恶性肿瘤患者属于不适合接种新冠疫苗的人群。目前肿瘤患者不能接种疫苗最重要的原因在于缺乏明确的临床实验数据，因此无法判定新冠疫苗对于肿瘤患者的安全性和有效性。有肿瘤病史的人群和正在接受治疗的肿瘤患者是否适合接种某种特定疫苗，一定要经过肿瘤科医生的评估。,2
比尔·盖茨雇替身打新冠疫苗,经核查，盖茨打疫苗时耳朵的变形只是长时间佩戴口罩的结果。而且，拍摄角度、拍摄时间、光线条件等因素的差异，造成不同照片呈现的耳部形状存在一定的差异，不能成为判断照片中被拍摄者是否为同一人的充分依据。多款新冠疫苗接种后报告的副作用和过敏性反应中不包括“致残”或不可逆的严重身体损伤。接种疫苗有可能导致不同程度的副作用，但这些副作用基本上都是短时间的、可逆的、轻微的不适，并没有大规模导致接种者残疾或者发生不可逆损伤的报告。,1
